restaurant_names,food_names,first_name,food_cost
the-restaurant-at-the-end-of-the-universe,grains,Robert,1.0
the-ice-cream-parlor,pasta,Alexandra,1.0
johnnys-cashew-stand,cookies,Amy,4.0
the-ice-cream-parlor,sugar,Michele,1.0
johnnys-cashew-stand,ice cream,Ryan,7.0
the-ice-cream-parlor,vegetables,Brad,7.5
bean-juice-stand,spices,Stacy,5.0
the-restaurant-at-the-end-of-the-universe,salad,Travis,8.0
bean-juice-stand,oil,Cynthia,5.0
johnnys-cashew-stand,soup,John,4.0
bean-juice-stand,candy,Valerie,6.5
the-restaurant-at-the-end-of-the-universe,chicken,Jose,6.5
johnnys-cashew-stand,spices,Tracy,2.5
johnnys-cashew-stand,cereal,Cheryl,5.5
the-restaurant-at-the-end-of-the-universe,ice cream,Reginald,8.0
the-ice-cream-parlor,candy,John,3.0
johnnys-cashew-stand,cookies,Lisa,7.0
johnnys-cashew-stand,pasta,Danny,6.0
johnnys-cashew-stand,sugar,Tiffany,4.0
johnnys-cashew-stand,cereal,Tracy,3.0
johnnys-cashew-stand,candy,Kristen,3.5
bean-juice-stand,grains,Elizabeth,2.5
the-ice-cream-parlor,cheese,Rachel,3.0
johnnys-cashew-stand,nuts,Michael,4.0
johnnys-cashew-stand,fish,Sarah,3.5
johnnys-cashew-stand,cheese,Barbara,6.0
the-restaurant-at-the-end-of-the-universe,tea,Lori,6.0
johnnys-cashew-stand,sugar,James,2.0
johnnys-cashew-stand,chips,Mark,4.0
bean-juice-stand,beans,Shawn,5.5
johnnys-cashew-stand,vegetables,Julie,6.5
the-ice-cream-parlor,eggs,Christina,1.0
the-ice-cream-parlor,pasta,Peggy,1.5
the-restaurant-at-the-end-of-the-universe,beans,Jessica,8.5
johnnys-cashew-stand,nuts,Christian,3.5
the-restaurant-at-the-end-of-the-universe,water,Paul,4.0
the-ice-cream-parlor,eggs,Sydney,4.0
johnnys-cashew-stand,meat,Melissa,5.0
the-restaurant-at-the-end-of-the-universe,soup,Jonathan,6.0
the-restaurant-at-the-end-of-the-universe,tea,Julie,5.0
bean-juice-stand,spices,Robin,2.5
the-restaurant-at-the-end-of-the-universe,water,Eric,5.0
johnnys-cashew-stand,chocolate,Robert,4.0
johnnys-cashew-stand,chicken,Brooke,8.5
bean-juice-stand,corn,James,9.0
bean-juice-stand,meat,Anthony,3.0
the-restaurant-at-the-end-of-the-universe,beans,Adam,8.5
bean-juice-stand,coffee,Michelle,3.5
the-ice-cream-parlor,cashews,Michael,4.5
bean-juice-stand,chicken,Pamela,5.0
bean-juice-stand,vegetables,Michael,5.5
bean-juice-stand,tea,Lynn,3.0
johnnys-cashew-stand,cheese,Angela,7.0
bean-juice-stand,chicken,Jamie,4.0
the-restaurant-at-the-end-of-the-universe,sugar,Molly,1.5
the-restaurant-at-the-end-of-the-universe,grains,Michael,3.0
johnnys-cashew-stand,cookies,Tabitha,2.5
bean-juice-stand,corn,Richard,2.0
johnnys-cashew-stand,coffee,Jessica,4.5
the-restaurant-at-the-end-of-the-universe,cashews,Patricia,5.0
johnnys-cashew-stand,candy,Susan,3.0
johnnys-cashew-stand,vegetables,Jeffery,2.0
the-ice-cream-parlor,grains,Sandra,8.0
johnnys-cashew-stand,cheese,Sean,4.5
johnnys-cashew-stand,milk,Derek,7.0
the-restaurant-at-the-end-of-the-universe,honey,Pamela,7.5
johnnys-cashew-stand,cashews,Henry,7.5
johnnys-cashew-stand,fish,Bryan,7.0
johnnys-cashew-stand,ice cream,Shawn,3.5
the-restaurant-at-the-end-of-the-universe,cookies,Jennifer,6.0
the-restaurant-at-the-end-of-the-universe,spices,Robert,5.0
johnnys-cashew-stand,cereal,Caitlyn,5.5
the-ice-cream-parlor,candy,Sarah,7.0
the-ice-cream-parlor,corn,Jesse,7.5
the-restaurant-at-the-end-of-the-universe,yogurt,Caroline,5.5
the-ice-cream-parlor,coffee,Lisa,7.5
johnnys-cashew-stand,grains,Megan,4.0
the-ice-cream-parlor,candy,Sheryl,3.0
johnnys-cashew-stand,fish,Meagan,7.0
johnnys-cashew-stand,oil,Anthony,6.0
johnnys-cashew-stand,honey,Jacqueline,3.0
the-ice-cream-parlor,water,Jennifer,2.5
bean-juice-stand,cheese,Donald,9.0
johnnys-cashew-stand,grains,Mark,4.5
the-restaurant-at-the-end-of-the-universe,oil,Sarah,3.0
bean-juice-stand,tea,James,6.0
the-restaurant-at-the-end-of-the-universe,candy,Ana,2.5
johnnys-cashew-stand,sandwiches,Samuel,7.5
bean-juice-stand,milk,Nicole,8.0
the-ice-cream-parlor,tea,Jonathan,5.0
the-restaurant-at-the-end-of-the-universe,salad,Craig,4.0
the-ice-cream-parlor,corn,Corey,4.5
the-restaurant-at-the-end-of-the-universe,chicken,Tiffany,2.0
johnnys-cashew-stand,water,Michael,7.0
the-restaurant-at-the-end-of-the-universe,cereal,Sandra,7.5
the-ice-cream-parlor,honey,Jared,1.5
the-ice-cream-parlor,coffee,Sharon,7.0
the-restaurant-at-the-end-of-the-universe,chocolate,Jennifer,2.5
bean-juice-stand,salad,Edward,6.0
johnnys-cashew-stand,tea,Renee,4.0
bean-juice-stand,cookies,Abigail,7.5
the-restaurant-at-the-end-of-the-universe,wine,Walter,7.5
johnnys-cashew-stand,vegetables,Margaret,6.5
the-ice-cream-parlor,cashews,Mary,7.0
bean-juice-stand,coffee,Christopher,8.5
the-ice-cream-parlor,soup,Thomas,7.5
the-restaurant-at-the-end-of-the-universe,wine,Dawn,3.0
johnnys-cashew-stand,cookies,Larry,1.0
johnnys-cashew-stand,sugar,Daniel,7.5
bean-juice-stand,eggs,Tami,8.5
johnnys-cashew-stand,fish,Andrew,1.5
johnnys-cashew-stand,corn,Teresa,7.5
the-restaurant-at-the-end-of-the-universe,sugar,Kimberly,2.5
the-restaurant-at-the-end-of-the-universe,cheese,Brenda,8.0
the-restaurant-at-the-end-of-the-universe,sandwiches,Angelica,7.5
the-ice-cream-parlor,honey,John,6.5
bean-juice-stand,sugar,Barbara,9.0
the-ice-cream-parlor,candy,Vanessa,4.0
the-ice-cream-parlor,nuts,Chad,2.0
the-restaurant-at-the-end-of-the-universe,cheese,Carla,6.0
the-ice-cream-parlor,sugar,Elizabeth,7.0
johnnys-cashew-stand,cheese,Scott,6.5
the-restaurant-at-the-end-of-the-universe,yogurt,Hannah,8.5
the-restaurant-at-the-end-of-the-universe,juice,Karen,2.5
bean-juice-stand,juice,Mark,5.0
johnnys-cashew-stand,fish,Mary,7.5
the-ice-cream-parlor,chips,David,3.0
johnnys-cashew-stand,sandwiches,Patricia,3.5
the-restaurant-at-the-end-of-the-universe,cheese,Daniel,4.0
the-restaurant-at-the-end-of-the-universe,corn,James,6.5
bean-juice-stand,wine,Gregg,1.0
the-ice-cream-parlor,cereal,Gabriel,3.0
bean-juice-stand,cereal,Katherine,4.0
the-ice-cream-parlor,tea,James,6.5
the-restaurant-at-the-end-of-the-universe,tea,James,5.0
the-restaurant-at-the-end-of-the-universe,tea,Alan,7.0
bean-juice-stand,wine,Stephanie,8.5
the-restaurant-at-the-end-of-the-universe,rice,Olivia,7.5
bean-juice-stand,soup,Vanessa,6.5
bean-juice-stand,pasta,James,6.0
the-ice-cream-parlor,water,Amber,9.0
the-ice-cream-parlor,chocolate,Robert,1.5
the-ice-cream-parlor,chips,Christine,8.0
bean-juice-stand,fruit,Tiffany,8.5
bean-juice-stand,water,Antonio,6.5
johnnys-cashew-stand,juice,Dwayne,8.5
the-ice-cream-parlor,grains,Luis,4.5
johnnys-cashew-stand,tea,Christina,5.5
johnnys-cashew-stand,honey,Kimberly,3.0
johnnys-cashew-stand,nuts,Amanda,5.5
johnnys-cashew-stand,rice,Brittney,5.0
the-restaurant-at-the-end-of-the-universe,eggs,Brian,8.5
the-ice-cream-parlor,candy,Brian,7.0
bean-juice-stand,beans,John,1.5
the-restaurant-at-the-end-of-the-universe,honey,Monica,4.5
bean-juice-stand,chicken,Whitney,6.0
the-ice-cream-parlor,candy,Mary,6.5
the-restaurant-at-the-end-of-the-universe,fish,Brooke,7.0
the-ice-cream-parlor,cereal,Melissa,6.0
the-restaurant-at-the-end-of-the-universe,chicken,Veronica,4.0
the-ice-cream-parlor,soup,Bryan,8.0
johnnys-cashew-stand,juice,Nicole,8.5
bean-juice-stand,beans,Lindsey,6.5